epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.76573,1.71215,4.5886,1.39817,0,0,0,0,1.4677,4.34923,1.16598,1.875e-05,1.875e-05,1.875e-05
2,2.27548,1.64829,4.55231,1.31479,0,0,0,0,1.43454,4.27647,1.1108,4.33169e-05,4.33169e-05,4.33169e-05
3,2.77423,1.52492,4.32038,1.22018,0.00382,0.08194,0.0162,0.01072,1.39376,4.22808,1.08058,6.73887e-05,6.73887e-05,6.73887e-05
4,3.26617,1.45609,4.14634,1.12717,0.00556,0.11111,0.03469,0.02639,1.36195,4.20394,1.0726,9.09656e-05,9.09656e-05,9.09656e-05
5,3.73755,1.45586,3.86661,1.11239,0.00729,0.17847,0.02783,0.01802,1.33227,4.1814,1.06641,0.000114047,0.000114047,0.000114047
6,4.21519,1.42412,3.71251,1.09098,0.01465,0.39676,0.0568,0.03532,1.30728,4.14915,1.06133,0.000136634,0.000136634,0.000136634
7,4.69755,1.45706,3.56798,1.10336,0.02922,0.5316,0.1054,0.06759,1.32188,4.077,1.06862,0.000158726,0.000158726,0.000158726
8,5.15613,1.4323,3.32217,1.10783,0.04573,0.70696,0.13957,0.08695,1.3669,3.93642,1.0728,0.000180323,0.000180323,0.000180323
9,5.65115,1.46685,3.15478,1.10808,0.0526,0.75078,0.1778,0.10678,1.44904,3.77319,1.10063,0.000201425,0.000201425,0.000201425
10,6.17493,1.47479,2.87691,1.13916,0.05994,0.80792,0.21352,0.13173,1.44773,3.56493,1.12976,0.000222032,0.000222032,0.000222032
11,6.689,1.41619,2.81335,1.07404,0.06682,0.86838,0.23806,0.14598,1.43629,3.36839,1.16099,0.000242144,0.000242144,0.000242144
12,7.1607,1.42082,2.65029,1.08483,0.06502,0.88273,0.2707,0.17032,1.40405,3.19939,1.17831,0.000261761,0.000261761,0.000261761
13,7.64107,1.44118,2.39447,1.10679,0.06215,0.90264,0.29703,0.19206,1.40289,3.05064,1.18206,0.000280882,0.000280882,0.000280882
14,8.09659,1.38364,2.28023,1.09276,0.06053,0.9038,0.30028,0.19348,1.42385,2.97065,1.18631,0.000299509,0.000299509,0.000299509
15,8.56432,1.40391,2.18325,1.10143,0.20722,0.47917,0.33935,0.21651,1.44322,2.95723,1.1915,0.000317641,0.000317641,0.000317641
16,9.00845,1.4352,2.09237,1.13559,0.12884,0.8156,0.38892,0.24934,1.43903,2.97311,1.19342,0.000335278,0.000335278,0.000335278
17,9.45148,1.41739,1.96564,1.10968,0.61667,0.298,0.40428,0.26003,1.42348,2.93827,1.1969,0.00035242,0.00035242,0.00035242
18,9.92388,1.40098,1.9549,1.10024,0.8472,0.19586,0.41805,0.26824,1.39602,2.74956,1.18329,0.000369067,0.000369067,0.000369067
19,10.3854,1.39082,1.82522,1.14162,0.83378,0.17086,0.42135,0.271,1.39383,2.6612,1.17944,0.000385219,0.000385219,0.000385219
20,10.8447,1.4207,1.85996,1.09728,0.79188,0.22153,0.42647,0.2726,1.42424,2.55565,1.18966,0.000400876,0.000400876,0.000400876
21,11.3108,1.38444,1.78791,1.08423,0.54208,0.30122,0.45697,0.29396,1.41226,2.3448,1.19055,0.000416038,0.000416038,0.000416038
22,11.7644,1.37974,1.68589,1.11199,0.59358,0.36634,0.43785,0.27013,1.44338,2.22886,1.2148,0.000430704,0.000430704,0.000430704
23,12.2136,1.36328,1.57326,1.15462,0.59314,0.321,0.41097,0.24028,1.5385,2.18359,1.28216,0.000444876,0.000444876,0.000444876
24,12.6659,1.39192,1.65694,1.10231,0.56954,0.35579,0.40648,0.23883,1.52294,2.09519,1.28391,0.000458553,0.000458553,0.000458553
25,13.1229,1.40975,1.57095,1.13816,0.50046,0.50803,0.4755,0.30029,1.48407,1.86611,1.24736,0.000471735,0.000471735,0.000471735
26,13.5917,1.3598,1.55567,1.10588,0.51764,0.56143,0.54926,0.35116,1.47359,1.74234,1.21561,0.000470312,0.000470312,0.000470312
27,14.0461,1.38586,1.5009,1.12286,0.46574,0.62293,0.54651,0.34755,1.49472,1.77962,1.21384,0.000464125,0.000464125,0.000464125
28,14.4967,1.34458,1.49437,1.08387,0.44445,0.62562,0.5409,0.34204,1.47674,1.70431,1.20831,0.000457938,0.000457938,0.000457938
29,14.9432,1.33773,1.40256,1.09141,0.45528,0.67037,0.56683,0.36272,1.44451,1.6109,1.20128,0.00045175,0.00045175,0.00045175
30,15.3937,1.29742,1.37624,1.09895,0.4699,0.60593,0.58611,0.37936,1.43867,1.53683,1.20345,0.000445562,0.000445562,0.000445562
31,15.8684,1.27489,1.34047,1.10174,0.48472,0.58667,0.57972,0.37133,1.45902,1.50097,1.21148,0.000439375,0.000439375,0.000439375
32,16.3128,1.32235,1.37167,1.07312,0.50409,0.61973,0.61124,0.39595,1.46304,1.43957,1.21189,0.000433187,0.000433187,0.000433187
33,16.7592,1.30298,1.31587,1.07286,0.52809,0.7027,0.61077,0.39365,1.45695,1.35584,1.20759,0.000427,0.000427,0.000427
34,17.2054,1.31772,1.28969,1.12339,0.52766,0.64568,0.60436,0.38515,1.45315,1.29269,1.21518,0.000420812,0.000420812,0.000420812
35,17.6559,1.30544,1.34557,1.07,0.53707,0.62718,0.60592,0.38323,1.45354,1.28226,1.21047,0.000414625,0.000414625,0.000414625
36,18.1091,1.29589,1.31754,1.08115,0.53662,0.6416,0.62714,0.39046,1.45911,1.26844,1.20941,0.000408438,0.000408438,0.000408438
37,18.603,1.24106,1.32396,1.0322,0.5161,0.69709,0.64059,0.40353,1.4473,1.26306,1.19841,0.00040225,0.00040225,0.00040225
38,19.0575,1.26566,1.26431,1.02812,0.52464,0.7209,0.65423,0.40725,1.42909,1.25367,1.18398,0.000396063,0.000396063,0.000396063
39,19.5438,1.25314,1.25384,1.04245,0.55417,0.77605,0.6986,0.4257,1.43679,1.25109,1.18671,0.000389875,0.000389875,0.000389875
40,20.0076,1.28161,1.21234,1.10338,0.70908,0.60291,0.69137,0.40712,1.51808,1.29424,1.22438,0.000383688,0.000383688,0.000383688
41,20.4926,1.33038,1.23254,1.06805,0.57531,0.74123,0.69576,0.40521,1.54482,1.31045,1.23747,0.0003775,0.0003775,0.0003775
42,20.9364,1.30569,1.22031,1.06846,0.5905,0.74465,0.70825,0.43536,1.45381,1.27322,1.18944,0.000371313,0.000371313,0.000371313
43,21.417,1.23779,1.15706,1.04137,0.69713,0.69873,0.71571,0.45003,1.40876,1.21925,1.1593,0.000365125,0.000365125,0.000365125
44,21.8747,1.26169,1.18318,1.08404,0.66253,0.69041,0.73156,0.45497,1.42946,1.21594,1.16831,0.000358938,0.000358938,0.000358938
45,22.3417,1.23934,1.11205,1.05509,0.60067,0.74389,0.7258,0.46506,1.45791,1.22715,1.18597,0.00035275,0.00035275,0.00035275
46,22.8079,1.23811,1.09948,1.05151,0.59986,0.72314,0.72175,0.45117,1.46177,1.20768,1.18715,0.000346563,0.000346563,0.000346563
47,23.2777,1.19675,1.09344,1.03034,0.59646,0.68799,0.70849,0.43928,1.45388,1.17995,1.18293,0.000340375,0.000340375,0.000340375
48,23.7564,1.21934,1.06995,1.03585,0.64202,0.7315,0.73042,0.45794,1.43706,1.14481,1.17586,0.000334188,0.000334188,0.000334188
49,24.2146,1.22165,1.02282,1.06021,0.65078,0.72061,0.73247,0.45648,1.44732,1.13257,1.18098,0.000328,0.000328,0.000328
50,24.6857,1.16469,1.05426,1.0149,0.69622,0.76435,0.76616,0.45518,1.48843,1.13268,1.20183,0.000321812,0.000321812,0.000321812
51,25.1645,1.18448,1.06186,1.04496,0.69818,0.79506,0.78024,0.45814,1.51361,1.11234,1.21585,0.000315625,0.000315625,0.000315625
52,25.6221,1.20747,1.0247,1.01127,0.70889,0.79306,0.79002,0.48299,1.48141,1.07779,1.19695,0.000309437,0.000309437,0.000309437
53,26.0934,1.18485,1.03033,1.02908,0.70926,0.78517,0.80092,0.49704,1.44801,1.05332,1.17605,0.00030325,0.00030325,0.00030325
54,26.5676,1.13591,1.00019,1.01339,0.70291,0.77379,0.80256,0.49993,1.43725,1.04358,1.17162,0.000297063,0.000297063,0.000297063
55,27.0273,1.17254,0.99234,1.02803,0.6965,0.76875,0.80161,0.49304,1.47864,1.05999,1.18882,0.000290875,0.000290875,0.000290875
56,27.4909,1.16245,0.98399,1.00996,0.69901,0.73459,0.80154,0.4791,1.52612,1.08411,1.21762,0.000284688,0.000284688,0.000284688
57,27.9565,1.13517,0.92321,1.03613,0.8273,0.66046,0.80253,0.48298,1.52765,1.09951,1.2224,0.0002785,0.0002785,0.0002785
58,28.4107,1.16154,0.96408,1.03264,0.82635,0.67679,0.80913,0.49945,1.48671,1.08508,1.20157,0.000272313,0.000272313,0.000272313
59,28.8551,1.18241,0.94184,1.03386,0.77125,0.7075,0.80337,0.50477,1.44696,1.07491,1.18576,0.000266125,0.000266125,0.000266125
60,29.3314,1.17979,0.95691,1.02551,0.76242,0.75445,0.80017,0.4998,1.45087,1.10691,1.19054,0.000259938,0.000259938,0.000259938
61,29.8141,1.16729,0.92706,1.03411,0.74883,0.71921,0.77493,0.47996,1.54023,1.18908,1.23288,0.00025375,0.00025375,0.00025375
62,30.271,1.1243,0.89236,1.01177,0.71676,0.71692,0.77119,0.46517,1.58849,1.21566,1.2555,0.000247563,0.000247563,0.000247563
63,30.7141,1.11176,0.9317,1.00169,0.69987,0.71811,0.76865,0.47142,1.50479,1.16828,1.21455,0.000241375,0.000241375,0.000241375
64,31.1689,1.13929,0.93042,1.0119,0.71173,0.7572,0.76498,0.47072,1.44758,1.12944,1.17536,0.000235188,0.000235188,0.000235188
